Running task 15 with seed=1 and percentage=0.40
Epoch 0, Loss Total: 83.92764282226562, Loss Train: 124.69889831542969, Loss Test: 135.2874755859375
Epoch 100, Loss Total: 41.89381408691406, Loss Train: 37.03630065917969, Loss Test: 64.11153411865234
Epoch 200, Loss Total: 40.70131301879883, Loss Train: 16.215341567993164, Loss Test: 40.03357696533203
Epoch 300, Loss Total: 43.65534210205078, Loss Train: 8.341337203979492, Loss Test: 33.14342498779297
Epoch 400, Loss Total: 45.92351150512695, Loss Train: 4.642050266265869, Loss Test: 30.585708618164062
Epoch 500, Loss Total: 47.532989501953125, Loss Train: 2.70682954788208, Loss Test: 29.49628448486328
Epoch 600, Loss Total: 48.681365966796875, Loss Train: 1.621717095375061, Loss Test: 28.98808479309082
Epoch 700, Loss Total: 49.50031280517578, Loss Train: 0.9853996634483337, Loss Test: 28.731969833374023
Epoch 800, Loss Total: 50.08526611328125, Loss Train: 0.6025371551513672, Loss Test: 28.5947265625
Epoch 900, Loss Total: 50.50547409057617, Loss Train: 0.36912772059440613, Loss Test: 28.518428802490234
Epoch 1000, Loss Total: 50.80916976928711, Loss Train: 0.22593747079372406, Loss Test: 28.47556495666504
Epoch 1100, Loss Total: 51.02948760986328, Loss Train: 0.1378394216299057, Loss Test: 28.45182228088379
Epoch 1200, Loss Total: 51.18948745727539, Loss Train: 0.083589106798172, Loss Test: 28.439157485961914
Epoch 1300, Loss Total: 51.305572509765625, Loss Train: 0.05022425204515457, Loss Test: 28.432849884033203
Epoch 1400, Loss Total: 51.38966369628906, Loss Train: 0.029792342334985733, Loss Test: 28.430086135864258
Epoch 1500, Loss Total: 51.45045471191406, Loss Train: 0.0173841193318367, Loss Test: 28.42920684814453
Epoch 1600, Loss Total: 51.49433135986328, Loss Train: 0.009945488534867764, Loss Test: 28.429264068603516
Epoch 1700, Loss Total: 51.525970458984375, Loss Train: 0.0055644758976995945, Loss Test: 28.429725646972656
Epoch 1800, Loss Total: 51.54876708984375, Loss Train: 0.0030410457402467728, Loss Test: 28.430326461791992
Epoch 1900, Loss Total: 51.565162658691406, Loss Train: 0.0016250687185674906, Loss Test: 28.430938720703125
Epoch 2000, Loss Total: 51.576942443847656, Loss Train: 0.0008538123802281916, Loss Test: 28.431501388549805
Epoch 2100, Loss Total: 51.585391998291016, Loss Train: 0.0004470145213417709, Loss Test: 28.4320011138916
Epoch 2200, Loss Total: 51.591434478759766, Loss Train: 0.0002396794006926939, Loss Test: 28.43243408203125
Epoch 2300, Loss Total: 51.59574890136719, Loss Train: 0.00013768173812422901, Loss Test: 28.432802200317383
Epoch 2400, Loss Total: 51.59882736206055, Loss Train: 8.921401604311541e-05, Loss Test: 28.433116912841797
Epoch 2500, Loss Total: 51.60100173950195, Loss Train: 6.690225563943386e-05, Loss Test: 28.433378219604492
Epoch 2600, Loss Total: 51.60255432128906, Loss Train: 5.692643753718585e-05, Loss Test: 28.43359375
Epoch 2700, Loss Total: 51.6036491394043, Loss Train: 5.253482595435344e-05, Loss Test: 28.433765411376953
Epoch 2800, Loss Total: 51.60442352294922, Loss Train: 5.068169775768183e-05, Loss Test: 28.43390464782715
Epoch 2900, Loss Total: 51.6049690246582, Loss Train: 4.990283559891395e-05, Loss Test: 28.434011459350586
Epoch 3000, Loss Total: 51.60535430908203, Loss Train: 4.950686707161367e-05, Loss Test: 28.434097290039062
Epoch 3100, Loss Total: 51.605621337890625, Loss Train: 4.928550697513856e-05, Loss Test: 28.434162139892578
Epoch 3200, Loss Total: 51.60581588745117, Loss Train: 4.9203943490283564e-05, Loss Test: 28.43421173095703
Epoch 3300, Loss Total: 51.605953216552734, Loss Train: 4.916634861729108e-05, Loss Test: 28.434247970581055
Epoch 3400, Loss Total: 51.606048583984375, Loss Train: 4.920179708278738e-05, Loss Test: 28.43427276611328
Epoch 3500, Loss Total: 51.60609817504883, Loss Train: 4.9136906454805285e-05, Loss Test: 28.434288024902344
Epoch 3600, Loss Total: 51.606109619140625, Loss Train: 4.913713564747013e-05, Loss Test: 28.43429183959961
Epoch 3700, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 3800, Loss Total: 51.606117248535156, Loss Train: 4.913712837151252e-05, Loss Test: 28.434295654296875
Epoch 3900, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4000, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4100, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4200, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4300, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4400, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4500, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4600, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4700, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4800, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 4900, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 5000, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 5100, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 5200, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 5300, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
Epoch 5400, Loss Total: 51.606117248535156, Loss Train: 4.913713564747013e-05, Loss Test: 28.434295654296875
