Running task 252 with seed=28 and percentage=0.10
Epoch 0, Loss Total: 84.07091522216797, Loss Train: 138.46353149414062, Loss Test: 130.485107421875
Epoch 100, Loss Total: 56.67536926269531, Loss Train: 48.05056381225586, Loss Test: 88.89463806152344
Epoch 200, Loss Total: 45.370033264160156, Loss Train: 24.4509334564209, Loss Test: 57.18832015991211
Epoch 300, Loss Total: 45.87236022949219, Loss Train: 14.34620189666748, Loss Test: 45.08956527709961
Epoch 400, Loss Total: 49.1416130065918, Loss Train: 9.045296669006348, Loss Test: 40.79752731323242
Epoch 500, Loss Total: 52.536376953125, Loss Train: 5.965717315673828, Loss Test: 39.41743087768555
Epoch 600, Loss Total: 55.38167190551758, Loss Train: 4.046361923217773, Loss Test: 39.09241485595703
Epoch 700, Loss Total: 57.60691833496094, Loss Train: 2.785722017288208, Loss Test: 39.12725830078125
Epoch 800, Loss Total: 59.31953811645508, Loss Train: 1.9261311292648315, Loss Test: 39.275718688964844
Epoch 900, Loss Total: 60.653018951416016, Loss Train: 1.3263896703720093, Loss Test: 39.45945739746094
Epoch 1000, Loss Total: 61.716800689697266, Loss Train: 0.9039058685302734, Loss Test: 39.65622329711914
Epoch 1100, Loss Total: 62.5875358581543, Loss Train: 0.6067076325416565, Loss Test: 39.858787536621094
Epoch 1200, Loss Total: 63.314903259277344, Loss Train: 0.3996568024158478, Loss Test: 40.062339782714844
Epoch 1300, Loss Total: 63.930076599121094, Loss Train: 0.2576524019241333, Loss Test: 40.2618522644043
Epoch 1400, Loss Total: 64.45288848876953, Loss Train: 0.1621910184621811, Loss Test: 40.452354431152344
Epoch 1500, Loss Total: 64.89663696289062, Loss Train: 0.0995016098022461, Loss Test: 40.6295166015625
Epoch 1600, Loss Total: 65.27108001708984, Loss Train: 0.059389423578977585, Loss Test: 40.79010009765625
Epoch 1700, Loss Total: 65.58421325683594, Loss Train: 0.034435637295246124, Loss Test: 40.93208312988281
Epoch 1800, Loss Total: 65.84317016601562, Loss Train: 0.019371094182133675, Loss Test: 41.054656982421875
Epoch 1900, Loss Total: 66.05458068847656, Loss Train: 0.010561259463429451, Loss Test: 41.15799331665039
Epoch 2000, Loss Total: 66.22479248046875, Loss Train: 0.0055774059146642685, Loss Test: 41.24308395385742
Epoch 2100, Loss Total: 66.35981750488281, Loss Train: 0.0028541982173919678, Loss Test: 41.311527252197266
Epoch 2200, Loss Total: 66.46532440185547, Loss Train: 0.0014190092915669084, Loss Test: 41.36524963378906
Epoch 2300, Loss Total: 66.54645538330078, Loss Train: 0.0006904650363139808, Loss Test: 41.4063720703125
Epoch 2400, Loss Total: 66.60787200927734, Loss Train: 0.0003346483572386205, Loss Test: 41.43699264526367
Epoch 2500, Loss Total: 66.65361785888672, Loss Train: 0.00016769436479080468, Loss Test: 41.45912551879883
Epoch 2600, Loss Total: 66.68714904785156, Loss Train: 9.221887739840895e-05, Loss Test: 41.47458267211914
Epoch 2700, Loss Total: 66.71134948730469, Loss Train: 5.948985563009046e-05, Loss Test: 41.484928131103516
Epoch 2800, Loss Total: 66.7285385131836, Loss Train: 4.5794349716743454e-05, Loss Test: 41.491477966308594
Epoch 2900, Loss Total: 66.7405776977539, Loss Train: 4.02128353016451e-05, Loss Test: 41.49528884887695
Epoch 3000, Loss Total: 66.74888610839844, Loss Train: 3.802895298576914e-05, Loss Test: 41.4971923828125
Epoch 3100, Loss Total: 66.75454711914062, Loss Train: 3.715170896612108e-05, Loss Test: 41.49782180786133
Epoch 3200, Loss Total: 66.75833892822266, Loss Train: 3.6793178878724575e-05, Loss Test: 41.49763488769531
Epoch 3300, Loss Total: 66.7608642578125, Loss Train: 3.6678422475233674e-05, Loss Test: 41.496952056884766
Epoch 3400, Loss Total: 66.76251220703125, Loss Train: 3.682359601953067e-05, Loss Test: 41.49600601196289
Epoch 3500, Loss Total: 66.7635726928711, Loss Train: 3.6639128666138276e-05, Loss Test: 41.494956970214844
Epoch 3600, Loss Total: 66.763916015625, Loss Train: 3.659417052404024e-05, Loss Test: 41.49441146850586
Epoch 3700, Loss Total: 66.76405334472656, Loss Train: 3.65943051292561e-05, Loss Test: 41.49413299560547
Epoch 3800, Loss Total: 66.76409912109375, Loss Train: 3.659430149127729e-05, Loss Test: 41.49397659301758
Epoch 3900, Loss Total: 66.76409912109375, Loss Train: 3.65943051292561e-05, Loss Test: 41.493900299072266
Epoch 4000, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.493858337402344
Epoch 4100, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.493839263916016
Epoch 4200, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382781982422
Epoch 4300, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382400512695
Epoch 4400, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 4500, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 4600, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 4700, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 4800, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 4900, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5000, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5100, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5200, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5300, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5400, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5500, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5600, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5700, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5800, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 5900, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6000, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6100, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6200, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6300, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6400, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6500, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
Epoch 6600, Loss Total: 66.76410675048828, Loss Train: 3.65943051292561e-05, Loss Test: 41.49382019042969
