Running task 285 with seed=31 and percentage=0.40
Epoch 0, Loss Total: 83.9651870727539, Loss Train: 129.270263671875, Loss Test: 132.33560180664062
Epoch 100, Loss Total: 39.491973876953125, Loss Train: 42.8707275390625, Loss Test: 68.12806701660156
Epoch 200, Loss Total: 28.4410343170166, Loss Train: 19.198640823364258, Loss Test: 37.655914306640625
Epoch 300, Loss Total: 29.35235595703125, Loss Train: 10.346291542053223, Loss Test: 26.001955032348633
Epoch 400, Loss Total: 33.240013122558594, Loss Train: 6.407148838043213, Loss Test: 20.753829956054688
Epoch 500, Loss Total: 37.444602966308594, Loss Train: 4.468727111816406, Loss Test: 18.091732025146484
Epoch 600, Loss Total: 41.20500946044922, Loss Train: 3.4359030723571777, Loss Test: 16.652305603027344
Epoch 700, Loss Total: 44.360389709472656, Loss Train: 2.85125994682312, Loss Test: 15.86017894744873
Epoch 800, Loss Total: 46.937191009521484, Loss Train: 2.5067365169525146, Loss Test: 15.431612014770508
Epoch 900, Loss Total: 49.01466369628906, Loss Train: 2.298372745513916, Loss Test: 15.210541725158691
Epoch 1000, Loss Total: 50.68092727661133, Loss Train: 2.170072317123413, Loss Test: 15.106456756591797
Epoch 1100, Loss Total: 52.01775360107422, Loss Train: 2.0900561809539795, Loss Test: 15.066648483276367
Epoch 1200, Loss Total: 53.09490966796875, Loss Train: 2.039641857147217, Loss Test: 15.060673713684082
Epoch 1300, Loss Total: 53.96854782104492, Loss Train: 2.0076816082000732, Loss Test: 15.070963859558105
Epoch 1400, Loss Total: 54.68220901489258, Loss Train: 1.9873394966125488, Loss Test: 15.08764934539795
Epoch 1500, Loss Total: 55.26918411254883, Loss Train: 1.9743497371673584, Loss Test: 15.105310440063477
Epoch 1600, Loss Total: 55.754825592041016, Loss Train: 1.9660578966140747, Loss Test: 15.121336936950684
Epoch 1700, Loss Total: 56.15900802612305, Loss Train: 1.960793137550354, Loss Test: 15.134570121765137
Epoch 1800, Loss Total: 56.49750900268555, Loss Train: 1.9574447870254517, Loss Test: 15.144816398620605
Epoch 1900, Loss Total: 56.783302307128906, Loss Train: 1.9552831649780273, Loss Test: 15.152360916137695
Epoch 2000, Loss Total: 57.027164459228516, Loss Train: 1.9538912773132324, Loss Test: 15.1575288772583
Epoch 2100, Loss Total: 57.23822021484375, Loss Train: 1.953014612197876, Loss Test: 15.16101360321045
Epoch 2200, Loss Total: 57.42412185668945, Loss Train: 1.9524368047714233, Loss Test: 15.163121223449707
Epoch 2300, Loss Total: 57.59117889404297, Loss Train: 1.9520546197891235, Loss Test: 15.164467811584473
Epoch 2400, Loss Total: 57.71611785888672, Loss Train: 1.9518752098083496, Loss Test: 15.165013313293457
