Running task 381 with seed=42 and percentage=0.25
Epoch 0, Loss Total: 81.4476089477539, Loss Train: 107.84795379638672, Loss Test: 133.88839721679688
Epoch 100, Loss Total: 51.87623596191406, Loss Train: 0.04835153743624687, Loss Test: 21.927555084228516
Epoch 200, Loss Total: 52.972412109375, Loss Train: 3.8487210986204445e-05, Loss Test: 21.698312759399414
Epoch 300, Loss Total: 53.19571304321289, Loss Train: 2.4034006855799817e-05, Loss Test: 21.692108154296875
Epoch 400, Loss Total: 53.25355529785156, Loss Train: 2.4052931621554308e-05, Loss Test: 21.692079544067383
Epoch 500, Loss Total: 53.26622772216797, Loss Train: 2.4052977096289396e-05, Loss Test: 21.692169189453125
Epoch 600, Loss Total: 53.27058792114258, Loss Train: 2.4052986191236414e-05, Loss Test: 21.692211151123047
Epoch 700, Loss Total: 53.272422790527344, Loss Train: 2.4052991648204625e-05, Loss Test: 21.692228317260742
Epoch 800, Loss Total: 53.273284912109375, Loss Train: 2.4052991648204625e-05, Loss Test: 21.69223976135254
Epoch 900, Loss Total: 53.273704528808594, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692243576049805
Epoch 1000, Loss Total: 53.2739143371582, Loss Train: 2.4052993467194028e-05, Loss Test: 21.69224739074707
Epoch 1100, Loss Total: 53.274017333984375, Loss Train: 2.4052993467194028e-05, Loss Test: 21.69224739074707
Epoch 1200, Loss Total: 53.274070739746094, Loss Train: 2.4052993467194028e-05, Loss Test: 21.69224739074707
Epoch 1300, Loss Total: 53.27409744262695, Loss Train: 2.4052993467194028e-05, Loss Test: 21.69224739074707
Epoch 1400, Loss Total: 53.27410888671875, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 1500, Loss Total: 53.27411651611328, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 1600, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 1700, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 1800, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 1900, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2000, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2100, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2200, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2300, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2400, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2500, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2600, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2700, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2800, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 2900, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 3000, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 3100, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 3200, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
Epoch 3300, Loss Total: 53.27412033081055, Loss Train: 2.4052993467194028e-05, Loss Test: 21.692249298095703
